Timestamp,Name:,Roll Number:,Department,What is your sleeping pattern?,What is your study habit preference?,What kind of sleeping environment do you prefer?,What is your food preference?,Are you comfortable sharing a room with someone with a different food habit?,Do you consider yourself more of an:,Do you have any health conditions or allergies your roommate should know? (If no enter 'Nil'),How open are you to adjusting if you don’t get roomate of similar choice?
10/11/2025 00:15:00,Prem Kumar,24CHE145,Chemistry,After 12 AM,I’m okay with mild background noise/music,"Flexible, can adjust",Non-Vegetarian,Yes,Introvert,Diabetes,Somewhat flexible
10/18/2025 15:52:00,Madhan Kumar,24EEE915,EEE,10 PM – 12 AM,I prefer studying in silence,"Complete silence, Okay with some light, Complete darkness",Non-Vegetarian,Yes,Ambivert,NIL,Very flexible
10/08/2025 03:38:00,Balamurugan,24EEE688,EEE,10 PM – 12 AM,I prefer group study,"Flexible, can adjust, Okay with some noise",Non-Vegetarian,Yes,Introvert,No,Somewhat flexible
10/01/2025 16:58:00,Bala Subramani,24CHE734,Chemistry,Before 10 PM,I’m okay with mild background noise/music,"Flexible, can adjust",Non-Vegetarian,Yes,Introvert,Diabetes,Very flexible
10/15/2025 18:16:00,Gokul Raj,24CSE139,CSE,Before 10 PM,I prefer group study,"Flexible, can adjust, Okay with some noise",Non-Vegetarian,Yes,Ambivert,NIL,Very flexible
10/11/2025 04:11:00,Madhan Kumar,24AIM480,AIML,10 PM – 12 AM,I prefer group study,"Flexible, can adjust",No preference,Yes,Ambivert,Dust allergy,Somewhat flexible
10/20/2025 07:00:00,Kavin Raj,24MEC893,Mechatronics,Before 10 PM,I prefer group study,Okay with some noise,Non-Vegetarian,Yes,Ambivert,NIL,Very flexible
10/09/2025 22:51:00,Saran Raj,24MEC157,Mechanical,After 12 AM,I prefer group study,Okay with some noise,Vegetarian,Yes,Ambivert,None,Somewhat flexible
10/12/2025 20:21:00,Sundar P,24ECE766,ECE,Before 10 PM,I’m okay with mild background noise/music,Okay with some noise,Non-Vegetarian,Yes,Ambivert,Dust allergy,Somewhat flexible
10/20/2025 13:25:00,Dinesh S,24MEC959,Mechanical,10 PM – 12 AM,I prefer group study,Complete darkness,Non-Vegetarian,No,Ambivert,Dust allergy,Very flexible
10/16/2025 20:00:00,Sundar P,24AIM386,AIML,After 12 AM,I prefer studying in silence,"Complete silence, Complete darkness",Vegetarian,No,Ambivert,NIL,Very flexible
10/08/2025 09:08:00,Vijay Kumar,24CSE938,CSE,After 12 AM,I prefer studying in silence,"Flexible, can adjust, Okay with some noise",Vegetarian,No,Introvert,Dust allergy,Somewhat flexible
10/09/2025 00:07:00,Ragul S,24BIO377,Biotechnology,After 12 AM,I prefer group study,Okay with some noise,Non-Vegetarian,Yes,Introvert,Dust allergy,Very flexible
10/19/2025 06:07:00,Krishna Raj,24ECE558,ECE,Before 10 PM,I’m okay with mild background noise/music,Complete darkness,Non-Vegetarian,Yes,Introvert,None,Very flexible
10/21/2025 07:02:00,Sanjay Kumar,24EEE679,EEE,Before 10 PM,I’m okay with mild background noise/music,Complete darkness,Non-Vegetarian,Yes,Ambivert,No,Very flexible
10/13/2025 16:22:00,Prasanna Kumar,24PHY803,Physics,Before 10 PM,I’m okay with mild background noise/music,"Flexible, can adjust, Okay with some noise",Non-Vegetarian,Yes,Introvert,NIL,Somewhat flexible
10/16/2025 23:54:00,Krishna Raj,24EEE726,EEE,Before 10 PM,I’m okay with mild background noise/music,"Flexible, can adjust, Okay with some noise",Non-Vegetarian,Yes,Introvert,Diabetes,Somewhat flexible
10/22/2025 00:06:00,Ranjith Kumar,24CSE529,CSE,10 PM – 12 AM,I prefer group study,"Complete silence, Okay with some light, Complete darkness",Non-Vegetarian,Yes,Extrovert,Dust allergy,Somewhat flexible
10/11/2025 22:44:00,Logesh Kumar,24EEE478,EEE,After 12 AM,I’m okay with mild background noise/music,"Flexible, can adjust",Vegetarian,Yes,Ambivert,Diabetes,Somewhat flexible
10/03/2025 12:37:00,Kishore R,24CHE418,Chemistry,Before 10 PM,I’m okay with mild background noise/music,"Complete silence, Okay with some light, Complete darkness",Non-Vegetarian,Yes,Extrovert,Asthma,Very flexible
10/20/2025 23:23:00,Nithesh,24BIO672,Biotechnology,After 12 AM,I prefer studying in silence,Okay with some noise,Vegan,No,Ambivert,Dust allergy,Somewhat flexible
10/14/2025 04:22:00,Ragul S,24CSE441,CSE,After 12 AM,I prefer group study,"Flexible, can adjust",Non-Vegetarian,Yes,Ambivert,Asthma,Very flexible
10/05/2025 08:57:00,Ravi M,24EEE447,EEE,After 12 AM,I prefer studying in silence,"Flexible, can adjust",Non-Vegetarian,Yes,Extrovert,Diabetes,Very flexible
10/07/2025 11:39:00,Surya Narayanan,24EIE181,EIE,Before 10 PM,I prefer studying in silence,"Complete silence, Okay with some light, Complete darkness",Non-Vegetarian,Yes,Ambivert,Dust allergy,Somewhat flexible
10/17/2025 15:43:00,Gopi Nath,24IT959,IT,Before 10 PM,I prefer group study,"Flexible, can adjust, Okay with some noise",Vegetarian,Yes,Ambivert,NIL,Very flexible
10/11/2025 02:37:00,Harish G,24EIE532,EIE,Before 10 PM,I’m okay with mild background noise/music,"Flexible, can adjust",Non-Vegetarian,No,Ambivert,Dust allergy,Somewhat flexible
10/10/2025 14:51:00,Saravanan M,24EIE785,EIE,After 12 AM,I prefer studying in silence,"Complete silence, Okay with some light, Complete darkness",Non-Vegetarian,No,Extrovert,None,Very flexible
10/03/2025 09:59:00,Kamalakannan,24PHY555,Physics,10 PM – 12 AM,I’m okay with mild background noise/music,Complete silence,Non-Vegetarian,Yes,Ambivert,Asthma,Very flexible
10/04/2025 18:49:00,Ragul Raj,24CHE689,Chemistry,After 12 AM,I prefer group study,Okay with some noise,Non-Vegetarian,No,Introvert,Dust allergy,Somewhat flexible
10/12/2025 23:18:00,Arun Kumar,24MEC160,Mechatronics,Before 10 PM,I prefer studying in silence,"Complete silence, Complete darkness",Non-Vegetarian,Yes,Introvert,Nil,Very flexible
10/21/2025 01:14:00,Sanjay Kumar,24ECE619,ECE,Before 10 PM,I prefer group study,Complete darkness,Non-Vegetarian,Yes,Extrovert,Nil,Very flexible
10/04/2025 07:27:00,Aravind Raj,24MEC955,Mechanical,After 12 AM,I prefer studying in silence,Complete darkness,Vegan,Yes,Introvert,Diabetes,Very flexible
10/15/2025 21:32:00,Ganesh Kumar,24EEE682,EEE,After 12 AM,I prefer group study,Complete silence,Non-Vegetarian,Yes,Extrovert,Diabetes,Somewhat flexible
10/08/2025 20:51:00,Karthikeyan A,24AIM808,AIML,10 PM – 12 AM,I’m okay with mild background noise/music,"Flexible, can adjust, Okay with some noise",Non-Vegetarian,No,Extrovert,Diabetes,Somewhat flexible
10/17/2025 04:18:00,Kumaravel S,24MEC646,Mechatronics,Before 10 PM,I prefer studying in silence,"Flexible, can adjust, Okay with some noise",Non-Vegetarian,Yes,Introvert,None,Not flexible
10/08/2025 22:47:00,Arunkumar L,24AIM231,AIML,Before 10 PM,I’m okay with mild background noise/music,"Flexible, can adjust",Non-Vegetarian,Yes,Introvert,No,Somewhat flexible
10/03/2025 22:58:00,Madhan Kumar,24CHE279,Chemistry,10 PM – 12 AM,I prefer studying in silence,"Complete silence, Complete darkness",Vegetarian,Yes,Ambivert,Diabetes,Very flexible
10/03/2025 12:59:00,Manikandan S,24AIM988,AIML,10 PM – 12 AM,I’m okay with mild background noise/music,"Flexible, can adjust, Okay with some noise",Non-Vegetarian,Yes,Introvert,Asthma,Somewhat flexible
10/03/2025 20:48:00,Ravi M,24EEE410,EEE,After 12 AM,I prefer studying in silence,"Flexible, can adjust, Okay with some noise",No preference,Yes,Introvert,Dust allergy,Somewhat flexible
10/12/2025 01:09:00,Deepak S,24CSE626,CSE,After 12 AM,I’m okay with mild background noise/music,Okay with some noise,Non-Vegetarian,Yes,Introvert,Asthma,Somewhat flexible
10/13/2025 02:46:00,Sundar P,24EIE182,EIE,10 PM – 12 AM,I prefer studying in silence,Complete silence,Non-Vegetarian,Yes,Introvert,Dust allergy,Somewhat flexible
10/03/2025 23:31:00,Bala Subramani,24EIE123,EIE,10 PM – 12 AM,I prefer group study,Okay with some noise,Non-Vegetarian,Yes,Introvert,Dust allergy,Somewhat flexible
10/05/2025 04:14:00,Prem Kumar,24MEC829,Mechatronics,After 12 AM,I prefer group study,"Complete silence, Okay with some light, Complete darkness",Non-Vegetarian,Yes,Extrovert,Asthma,Somewhat flexible
10/02/2025 01:53:00,Sathish K,24MEC159,Mechanical,After 12 AM,I prefer group study,Complete darkness,Vegetarian,Yes,Extrovert,Nil,Very flexible
10/12/2025 04:12:00,Aravind Raj,24EIE912,EIE,After 12 AM,I prefer studying in silence,Okay with some noise,No preference,Yes,Ambivert,No,Very flexible
10/08/2025 04:02:00,Anbarasan,24PHY712,Physics,Before 10 PM,I’m okay with mild background noise/music,Okay with some noise,Non-Vegetarian,Yes,Ambivert,Diabetes,Very flexible
10/10/2025 03:38:00,Madhan Kumar,24EIE735,EIE,10 PM – 12 AM,I’m okay with mild background noise/music,"Complete silence, Complete darkness",Non-Vegetarian,Yes,Ambivert,Nil,Very flexible
10/06/2025 06:59:00,Yuvaraj,24EEE419,EEE,Before 10 PM,I prefer group study,Complete darkness,Non-Vegetarian,No,Ambivert,Diabetes,Very flexible
10/12/2025 05:23:00,Vimal Raj,24IT889,IT,After 12 AM,I prefer studying in silence,"Flexible, can adjust",Vegetarian,Yes,Introvert,Diabetes,Somewhat flexible
10/19/2025 12:14:00,Manikandan S,24MEC249,Mechanical,After 12 AM,I prefer studying in silence,Complete silence,Non-Vegetarian,Yes,Ambivert,No,Very flexible
10/10/2025 18:47:00,Vignesh R,24IT557,IT,Before 10 PM,I prefer studying in silence,Okay with some noise,Non-Vegetarian,No,Extrovert,Diabetes,Very flexible
10/06/2025 18:11:00,Ragul Raj,24CSE465,CSE,Before 10 PM,I prefer group study,"Flexible, can adjust, Okay with some noise",Non-Vegetarian,Yes,Ambivert,No,Somewhat flexible
10/07/2025 20:40:00,Manikandan S,24MEC339,Mechatronics,10 PM – 12 AM,I prefer studying in silence,Complete darkness,Vegetarian,Yes,Introvert,NIL,Very flexible
10/03/2025 09:59:00,Ragul Raj,24EEE758,EEE,Before 10 PM,I’m okay with mild background noise/music,Okay with some noise,Non-Vegetarian,Yes,Introvert,Dust allergy,Very flexible
10/13/2025 09:57:00,Kavin Raj,24IT582,IT,Before 10 PM,I prefer group study,Complete darkness,Non-Vegetarian,Yes,Introvert,No,Very flexible
10/18/2025 17:57:00,Suresh Babu,24EEE553,EEE,10 PM – 12 AM,I’m okay with mild background noise/music,"Complete silence, Complete darkness",Vegetarian,Yes,Extrovert,No,Very flexible
10/08/2025 07:17:00,Arun Kumar,24MEC567,Mechatronics,10 PM – 12 AM,I’m okay with mild background noise/music,"Complete silence, Okay with some light, Complete darkness",Non-Vegetarian,Yes,Ambivert,Diabetes,Somewhat flexible
10/02/2025 12:46:00,Sathish Kumar,24BIO323,Biotechnology,Before 10 PM,I prefer group study,Complete darkness,No preference,Yes,Ambivert,Nil,Somewhat flexible
10/20/2025 18:43:00,Jagadeesh,24ECE976,ECE,Before 10 PM,I’m okay with mild background noise/music,"Complete silence, Complete darkness",Non-Vegetarian,Yes,Extrovert,NIL,Somewhat flexible
10/11/2025 22:34:00,Pandi Kumar,24MEC230,Mechatronics,Before 10 PM,I prefer studying in silence,"Complete silence, Complete darkness",No preference,Yes,Ambivert,NIL,Somewhat flexible
10/15/2025 16:48:00,Gopi Nath,24CHE382,Chemistry,10 PM – 12 AM,I prefer studying in silence,Complete silence,Non-Vegetarian,No,Ambivert,Asthma,Very flexible
10/04/2025 11:14:00,Dharanesh,24ECE811,ECE,After 12 AM,I prefer studying in silence,"Flexible, can adjust, Okay with some noise",Non-Vegetarian,No,Ambivert,Dust allergy,Very flexible
10/21/2025 11:55:00,Deepak S,24CSE202,CSE,After 12 AM,I prefer group study,Complete darkness,Non-Vegetarian,Yes,Extrovert,No,Somewhat flexible
10/17/2025 22:37:00,Yogesh Kumar,24EEE472,EEE,10 PM – 12 AM,I prefer group study,"Flexible, can adjust",Non-Vegetarian,No,Extrovert,No,Somewhat flexible
10/05/2025 06:28:00,Kamalakannan,24PHY372,Physics,Before 10 PM,I prefer group study,Okay with some noise,No preference,Yes,Extrovert,Diabetes,Very flexible
10/17/2025 19:14:00,Senthil Kumar,24MEC154,Mechanical,After 12 AM,I prefer group study,Complete darkness,Non-Vegetarian,Yes,Ambivert,Nil,Somewhat flexible
10/16/2025 09:43:00,Vijay Kumar,24PHY286,Physics,10 PM – 12 AM,I prefer group study,Complete darkness,No preference,No,Extrovert,Nil,Very flexible
10/04/2025 13:36:00,Kamalakannan,24IT197,IT,After 12 AM,I prefer group study,Complete darkness,Non-Vegetarian,No,Introvert,None,Somewhat flexible
10/12/2025 15:51:00,Kumaravel S,24PHY590,Physics,Before 10 PM,I’m okay with mild background noise/music,Complete darkness,Non-Vegetarian,Yes,Ambivert,Dust allergy,Somewhat flexible
10/10/2025 11:09:00,Prasanna Kumar,24BIO552,Biotechnology,Before 10 PM,I prefer studying in silence,"Flexible, can adjust",Non-Vegetarian,No,Introvert,None,Somewhat flexible
10/02/2025 10:59:00,Muthukumar S,24BIO695,Biotechnology,After 12 AM,I prefer studying in silence,Okay with some noise,Non-Vegetarian,Yes,Ambivert,None,Somewhat flexible
10/05/2025 05:51:00,Mathesh R,24CSE702,CSE,10 PM – 12 AM,I prefer studying in silence,Okay with some noise,Non-Vegetarian,Yes,Ambivert,Nil,Not flexible
10/09/2025 18:22:00,Sathish Kumar,24AIM481,AIML,Before 10 PM,I prefer group study,"Flexible, can adjust, Okay with some noise",Non-Vegetarian,Yes,Ambivert,No,Very flexible
10/13/2025 09:35:00,Sathya Narayanan,24AIM782,AIML,Before 10 PM,I prefer group study,"Complete silence, Okay with some light, Complete darkness",Non-Vegetarian,Yes,Ambivert,Diabetes,Very flexible
10/20/2025 04:06:00,Lokesh P,24MEC380,Mechanical,After 12 AM,I prefer studying in silence,"Complete silence, Complete darkness",Non-Vegetarian,Yes,Introvert,No,Very flexible
10/05/2025 19:05:00,Selvakumar R,24MEC493,Mechanical,After 12 AM,I’m okay with mild background noise/music,"Complete silence, Complete darkness",Vegan,Yes,Ambivert,No,Somewhat flexible
10/19/2025 16:29:00,Karthik S,24PHY379,Physics,After 12 AM,I’m okay with mild background noise/music,"Flexible, can adjust",Non-Vegetarian,No,Extrovert,Diabetes,Not flexible
10/06/2025 06:36:00,Gokul Raj,24BIO425,Biotechnology,10 PM – 12 AM,I prefer group study,Complete darkness,Non-Vegetarian,Yes,Introvert,No,Very flexible
10/05/2025 15:18:00,Ragul Raj,24CSE612,CSE,After 12 AM,I’m okay with mild background noise/music,"Flexible, can adjust, Okay with some noise",Non-Vegetarian,No,Extrovert,Dust allergy,Very flexible
10/10/2025 11:03:00,Vignesh R,24PHY826,Physics,10 PM – 12 AM,I prefer studying in silence,Complete darkness,Non-Vegetarian,Yes,Ambivert,None,Somewhat flexible
10/19/2025 04:28:00,Hariharan,24IT696,IT,10 PM – 12 AM,I’m okay with mild background noise/music,"Flexible, can adjust",Non-Vegetarian,Yes,Ambivert,Asthma,Somewhat flexible
10/13/2025 00:21:00,Vijay Anand,24CSE967,CSE,Before 10 PM,I’m okay with mild background noise/music,"Flexible, can adjust",Vegetarian,Yes,Ambivert,Diabetes,Somewhat flexible
10/18/2025 05:49:00,Praveen Kumar,24ECE284,ECE,10 PM – 12 AM,I prefer group study,"Complete silence, Complete darkness",Non-Vegetarian,No,Ambivert,NIL,Not flexible
10/10/2025 19:35:00,Kishore R,24EEE550,EEE,After 12 AM,I prefer group study,"Flexible, can adjust",Non-Vegetarian,Yes,Ambivert,Nil,Somewhat flexible
10/18/2025 06:55:00,Ragul Raj,24CHE960,Chemistry,After 12 AM,I’m okay with mild background noise/music,"Flexible, can adjust, Okay with some noise",Non-Vegetarian,Yes,Ambivert,None,Somewhat flexible
10/09/2025 18:30:00,Sathish K,24AIM866,AIML,After 12 AM,I’m okay with mild background noise/music,"Flexible, can adjust, Okay with some noise",Non-Vegetarian,Yes,Ambivert,No,Very flexible
10/12/2025 04:21:00,Suresh Babu,24ECE911,ECE,After 12 AM,I prefer group study,Complete silence,Non-Vegetarian,No,Introvert,NIL,Somewhat flexible
10/07/2025 21:05:00,Santhosh K,24MEC386,Mechatronics,After 12 AM,I prefer group study,Okay with some noise,Non-Vegetarian,Yes,Ambivert,Dust allergy,Not flexible
10/21/2025 06:05:00,Sundar P,24MEC439,Mechanical,10 PM – 12 AM,I prefer group study,Complete darkness,Vegetarian,Yes,Ambivert,Nil,Not flexible
10/11/2025 04:19:00,Bharath Raj,24MEC699,Mechatronics,After 12 AM,I’m okay with mild background noise/music,"Complete silence, Okay with some light, Complete darkness",Non-Vegetarian,Yes,Introvert,None,Somewhat flexible
10/16/2025 03:27:00,Harish G,24PHY764,Physics,After 12 AM,I prefer group study,"Complete silence, Complete darkness",Non-Vegetarian,Yes,Ambivert,Diabetes,Very flexible
10/05/2025 01:45:00,Ragul Deep,24CHE587,Chemistry,After 12 AM,I’m okay with mild background noise/music,"Flexible, can adjust, Okay with some noise",Non-Vegetarian,No,Ambivert,Asthma,Somewhat flexible
10/01/2025 15:04:00,Arun Kumar,24PHY645,Physics,10 PM – 12 AM,I’m okay with mild background noise/music,"Flexible, can adjust, Okay with some noise",Non-Vegetarian,Yes,Introvert,Diabetes,Somewhat flexible
10/12/2025 19:03:00,Karthik S,24CSE296,CSE,After 12 AM,I’m okay with mild background noise/music,"Flexible, can adjust",Non-Vegetarian,Yes,Extrovert,Diabetes,Very flexible
10/01/2025 11:07:00,Pandi Kumar,24CSE400,CSE,After 12 AM,I prefer group study,"Complete silence, Okay with some light, Complete darkness",Non-Vegetarian,No,Introvert,Nil,Very flexible
10/09/2025 08:42:00,Hariharan,24PHY970,Physics,After 12 AM,I prefer group study,"Flexible, can adjust, Okay with some noise",Non-Vegetarian,Yes,Extrovert,Asthma,Very flexible
10/15/2025 18:46:00,Saran Raj,24AIM281,AIML,Before 10 PM,I’m okay with mild background noise/music,Okay with some noise,Vegetarian,Yes,Ambivert,Asthma,Somewhat flexible
10/03/2025 09:28:00,Aravind Raj,24AIM372,AIML,10 PM – 12 AM,I prefer studying in silence,"Complete silence, Complete darkness",Non-Vegetarian,Yes,Ambivert,Asthma,Somewhat flexible
10/01/2025 10:33:00,Harish G,24AIM596,AIML,10 PM – 12 AM,I prefer studying in silence,Complete darkness,Vegetarian,Yes,Ambivert,Nil,Very flexible
10/17/2025 19:37:00,Sivakumar P,24ECE508,ECE,After 12 AM,I prefer studying in silence,"Flexible, can adjust",No preference,No,Introvert,Asthma,Very flexible
10/04/2025 21:48:00,Ragul S,24AIM482,AIML,After 12 AM,I’m okay with mild background noise/music,"Complete silence, Complete darkness",Non-Vegetarian,Yes,Introvert,Dust allergy,Not flexible
10/11/2025 17:40:00,Aravind Raj,24PHY155,Physics,Before 10 PM,I’m okay with mild background noise/music,Complete darkness,Non-Vegetarian,Yes,Ambivert,Diabetes,Very flexible
10/17/2025 09:13:00,Arun Kumar,24AIM262,AIML,Before 10 PM,I prefer group study,Complete silence,Non-Vegetarian,Yes,Ambivert,No,Somewhat flexible
10/02/2025 16:44:00,Ajith Kumar,24CHE775,Chemistry,Before 10 PM,I’m okay with mild background noise/music,"Complete silence, Okay with some light, Complete darkness",Vegetarian,Yes,Ambivert,None,Somewhat flexible
10/18/2025 01:30:00,Anbarasan,24MEC112,Mechatronics,Before 10 PM,I’m okay with mild background noise/music,"Complete silence, Complete darkness",Non-Vegetarian,Yes,Ambivert,Nil,Somewhat flexible
10/08/2025 04:53:00,Saravanan M,24PHY307,Physics,After 12 AM,I prefer studying in silence,"Complete silence, Complete darkness",Non-Vegetarian,Yes,Ambivert,NIL,Very flexible
10/04/2025 12:37:00,Nandhakumar,24MEC601,Mechatronics,After 12 AM,I’m okay with mild background noise/music,Complete silence,Non-Vegetarian,Yes,Introvert,Nil,Not flexible
10/19/2025 19:00:00,Ajay Kumar,24BIO844,Biotechnology,10 PM – 12 AM,I’m okay with mild background noise/music,"Complete silence, Complete darkness",Vegetarian,Yes,Ambivert,Diabetes,Very flexible
10/09/2025 15:39:00,Rajeshwaran,24PHY144,Physics,Before 10 PM,I prefer group study,"Flexible, can adjust",Vegetarian,Yes,Ambivert,None,Very flexible
10/14/2025 22:09:00,Varun Kumar,24MEC212,Mechatronics,10 PM – 12 AM,I prefer group study,"Flexible, can adjust, Okay with some noise",Non-Vegetarian,Yes,Introvert,NIL,Not flexible
10/06/2025 18:17:00,Prem Kumar,24CSE702,CSE,After 12 AM,I prefer studying in silence,"Flexible, can adjust, Okay with some noise",Non-Vegetarian,Yes,Introvert,None,Somewhat flexible
10/18/2025 13:01:00,Gopi Nath,24PHY200,Physics,10 PM – 12 AM,I’m okay with mild background noise/music,"Complete silence, Okay with some light, Complete darkness",Non-Vegetarian,No,Ambivert,None,Somewhat flexible
10/15/2025 12:32:00,Jagadeesh,24CHE174,Chemistry,Before 10 PM,I’m okay with mild background noise/music,Complete silence,Vegetarian,No,Ambivert,No,Somewhat flexible
10/07/2025 18:33:00,Siva Prakash,24BIO506,Biotechnology,Before 10 PM,I prefer studying in silence,"Complete silence, Okay with some light, Complete darkness",Non-Vegetarian,Yes,Ambivert,Diabetes,Somewhat flexible
10/14/2025 21:28:00,Surya Narayanan,24EIE446,EIE,10 PM – 12 AM,I prefer group study,"Flexible, can adjust",Non-Vegetarian,Yes,Ambivert,Nil,Somewhat flexible
10/08/2025 04:39:00,Sanjay Kumar,24ECE753,ECE,After 12 AM,I’m okay with mild background noise/music,Okay with some noise,Non-Vegetarian,No,Ambivert,Diabetes,Somewhat flexible
10/08/2025 18:57:00,Saravanan M,24IT483,IT,Before 10 PM,I prefer studying in silence,Complete silence,No preference,Yes,Ambivert,NIL,Somewhat flexible
10/10/2025 16:04:00,Muthukumar S,24BIO978,Biotechnology,Before 10 PM,I prefer group study,Complete darkness,Non-Vegetarian,Yes,Introvert,Diabetes,Somewhat flexible
10/16/2025 14:21:00,Varun Kumar,24MEC610,Mechanical,10 PM – 12 AM,I prefer studying in silence,"Flexible, can adjust, Okay with some noise",No preference,Yes,Ambivert,Diabetes,Very flexible
10/11/2025 01:25:00,Mohan Das,24PHY913,Physics,After 12 AM,I prefer studying in silence,Complete silence,Non-Vegetarian,Yes,Introvert,None,Very flexible
10/21/2025 12:14:00,Siva Prakash,24EIE870,EIE,10 PM – 12 AM,I’m okay with mild background noise/music,"Flexible, can adjust, Okay with some noise",Non-Vegetarian,No,Ambivert,Nil,Very flexible
10/15/2025 14:00:00,Tharun Raj,24ECE442,ECE,Before 10 PM,I’m okay with mild background noise/music,Complete darkness,No preference,Yes,Introvert,No,Very flexible
10/20/2025 03:51:00,Ganesh Kumar,24EEE880,EEE,After 12 AM,I prefer studying in silence,Okay with some noise,Non-Vegetarian,No,Ambivert,None,Somewhat flexible
10/19/2025 04:54:00,Vijay Kumar,24CSE960,CSE,Before 10 PM,I’m okay with mild background noise/music,"Complete silence, Complete darkness",Non-Vegetarian,Yes,Ambivert,Nil,Very flexible
10/13/2025 20:38:00,Kavin Raj,24AIM202,AIML,10 PM – 12 AM,I prefer group study,"Flexible, can adjust, Okay with some noise",Non-Vegetarian,No,Extrovert,Asthma,Very flexible
10/19/2025 01:26:00,Aravind Raj,24CSE215,CSE,Before 10 PM,I prefer group study,"Complete silence, Complete darkness",Non-Vegetarian,No,Introvert,Asthma,Somewhat flexible
10/14/2025 18:11:00,Santhosh K,24CSE369,CSE,After 12 AM,I prefer group study,"Complete silence, Okay with some light, Complete darkness",No preference,Yes,Ambivert,Asthma,Very flexible
10/13/2025 00:03:00,Aravind K,24MEC474,Mechatronics,After 12 AM,I prefer group study,Complete darkness,Non-Vegetarian,Yes,Ambivert,None,Very flexible
10/08/2025 03:12:00,Sathish K,24EIE842,EIE,10 PM – 12 AM,I prefer studying in silence,"Flexible, can adjust",Non-Vegetarian,Yes,Ambivert,No,Very flexible
10/18/2025 05:37:00,Selvakumar R,24ECE628,ECE,Before 10 PM,I’m okay with mild background noise/music,"Flexible, can adjust",Non-Vegetarian,Yes,Introvert,Dust allergy,Very flexible
10/14/2025 14:39:00,Sivakumar P,24MEC762,Mechanical,After 12 AM,I’m okay with mild background noise/music,Complete silence,Non-Vegetarian,Yes,Extrovert,Nil,Somewhat flexible
10/19/2025 18:01:00,Gokul Raj,24CHE894,Chemistry,Before 10 PM,I prefer group study,"Flexible, can adjust, Okay with some noise",Vegetarian,Yes,Ambivert,NIL,Somewhat flexible
10/01/2025 08:11:00,Ajay Kumar,24BIO657,Biotechnology,Before 10 PM,I prefer group study,"Flexible, can adjust",Non-Vegetarian,Yes,Introvert,Dust allergy,Not flexible
10/10/2025 04:06:00,Ajay Kumar,24AIM935,AIML,10 PM – 12 AM,I’m okay with mild background noise/music,"Flexible, can adjust",No preference,Yes,Ambivert,Asthma,Not flexible
10/14/2025 01:38:00,Elango,24IT406,IT,After 12 AM,I’m okay with mild background noise/music,"Flexible, can adjust, Okay with some noise",Non-Vegetarian,Yes,Ambivert,Asthma,Somewhat flexible
10/17/2025 06:19:00,Saravanan M,24AIM833,AIML,Before 10 PM,I prefer studying in silence,"Flexible, can adjust, Okay with some noise",Non-Vegetarian,Yes,Ambivert,No,Somewhat flexible
10/07/2025 14:48:00,Sathish Kumar,24ECE304,ECE,After 12 AM,I prefer group study,"Complete silence, Complete darkness",Non-Vegetarian,Yes,Extrovert,Asthma,Very flexible
10/06/2025 22:10:00,Varun Kumar,24MEC647,Mechanical,10 PM – 12 AM,I prefer studying in silence,Complete silence,Non-Vegetarian,Yes,Ambivert,NIL,Somewhat flexible
10/11/2025 18:10:00,Kavin Kumar,24MEC727,Mechanical,10 PM – 12 AM,I prefer studying in silence,Okay with some noise,Non-Vegetarian,Yes,Ambivert,Asthma,Very flexible
10/21/2025 21:07:00,Ajay Kumar,24CSE294,CSE,After 12 AM,I’m okay with mild background noise/music,"Complete silence, Okay with some light, Complete darkness",Non-Vegetarian,Yes,Introvert,NIL,Very flexible
10/16/2025 08:52:00,Madhan Kumar,24EIE990,EIE,After 12 AM,I prefer group study,"Flexible, can adjust, Okay with some noise",Non-Vegetarian,Yes,Ambivert,Nil,Very flexible
10/06/2025 05:01:00,Dharanesh,24EIE743,EIE,10 PM – 12 AM,I prefer studying in silence,"Flexible, can adjust",Non-Vegetarian,Yes,Introvert,Dust allergy,Somewhat flexible
10/13/2025 09:45:00,Ramesh V,24CHE387,Chemistry,After 12 AM,I prefer studying in silence,"Flexible, can adjust",Non-Vegetarian,No,Ambivert,Nil,Very flexible
10/17/2025 13:28:00,Anbarasan,24EIE781,EIE,Before 10 PM,I prefer group study,"Complete silence, Complete darkness",Vegetarian,Yes,Ambivert,None,Very flexible
10/05/2025 07:59:00,Kavin Raj,24IT541,IT,10 PM – 12 AM,I prefer studying in silence,Okay with some noise,Non-Vegetarian,Yes,Introvert,No,Somewhat flexible
10/01/2025 09:50:00,Sivakumar P,24CHE392,Chemistry,After 12 AM,I’m okay with mild background noise/music,"Flexible, can adjust",Vegetarian,Yes,Ambivert,Dust allergy,Somewhat flexible
10/14/2025 08:42:00,Ramesh V,24EIE762,EIE,Before 10 PM,I prefer group study,"Flexible, can adjust",Non-Vegetarian,Yes,Ambivert,NIL,Somewhat flexible
10/16/2025 23:49:00,Dinesh S,24BIO870,Biotechnology,Before 10 PM,I prefer studying in silence,"Complete silence, Complete darkness",Non-Vegetarian,Yes,Introvert,Diabetes,Somewhat flexible
10/03/2025 21:21:00,Yogesh Kumar,24PHY971,Physics,After 12 AM,I prefer studying in silence,Okay with some noise,Non-Vegetarian,No,Ambivert,NIL,Somewhat flexible
